direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,783,793,1.1803169713399229,1.1799010714285714,1.25,-51.98748891893645,26.25,-59.48748891893645,SL,MomentumStrategy,0,london
BUY,825,836,1.1798262505377612,1.1796875,1.24,-17.20506668239441,26.04,-24.645066682394408,SL,MomentumStrategy,0,london
BUY,980,989,1.1804687514659185,1.1805157142857143,1.24,5.823389654689315,26.04,-1.6166103453106846,SL,MomentumStrategy,0,newyork
SELL,1012,1021,1.1808238394630923,1.1809482142857142,1.24,-15.422478005108431,26.04,-22.86247800510843,SL,MomentumStrategy,0,newyork
BUY,1261,1268,1.1791418235607083,1.1788332142857143,1.24,-38.26755009925442,26.04,-45.70755009925442,SL,MomentumStrategy,0,newyork
BUY,1273,1276,1.1785288349743712,1.1779935714285714,1.23,-65.83741613337568,25.83,-73.21741613337568,SL,MomentumStrategy,0,newyork
BUY,1286,1291,1.1777196089783852,1.177787857142857,0.92,6.278831131407259,19.32,0.7588311314072582,SL,MomentumStrategy,1,newyork
BUY,2274,2304,1.1796093469416316,1.18029,0.92,62.62008136990271,19.32,57.1000813699027,EOD,MomentumStrategy,1,london
SELL,2398,2402,1.1802439039090156,1.1804585714285714,1.23,-26.404104905362047,25.83,-33.78410490536205,SL,MomentumStrategy,0,newyork
SELL,2609,2612,1.181013510139028,1.181564642857143,0.92,-50.704210066571775,19.32,-56.22421006657178,SL,MomentumStrategy,1,newyork
SELL,2613,2617,1.1815440681012597,1.1813660714285714,0.91,16.197697214630935,19.11,10.737697214630934,SL,MomentumStrategy,1,newyork
SELL,2729,2757,1.1822297322355946,1.1817525,1.22,58.2223327425404,25.62,50.9023327425404,SL,MomentumStrategy,0,newyork
BUY,3853,3859,1.1719463267984842,1.1719732142857144,0.92,2.473648825181307,19.32,-3.0463511748186933,SL,MomentumStrategy,1,newyork
SELL,4141,4151,1.1693950581174657,1.169937142857143,0.92,-49.87179605031322,19.32,-55.391796050313225,SL,MomentumStrategy,1,newyork
SELL,4155,4171,1.170222505778111,1.1698992857142858,0.91,29.41302580809646,19.11,23.95302580809646,SL,MomentumStrategy,1,newyork
BUY,4228,4242,1.1689222470740301,1.1692332142857143,0.92,28.60898347493812,19.32,23.08898347493812,SL,MomentumStrategy,1,newyork
BUY,6508,6524,1.160016022031102,1.1600792857142856,0.92,5.820258852896387,19.32,0.30025885289638676,SL,MomentumStrategy,1,london
SELL,6919,6940,1.1637555367158063,1.1635935714285714,0.92,14.900806425609758,19.32,9.380806425609759,SL,MomentumStrategy,1,newyork
SELL,6992,7011,1.163954528477166,1.1638632142857144,0.92,8.400905613545895,19.32,2.8809056135458944,SL,MomentumStrategy,1,newyork
SELL,7118,7129,1.162664675062016,1.1625764285714286,1.23,10.854318342245595,25.83,3.4743183422455948,SL,MomentumStrategy,0,newyork
SELL,7968,7971,1.1597547090374083,1.1601114285714287,0.92,-32.81819712987577,19.32,-38.33819712987577,SL,MomentumStrategy,1,london
SELL,8150,8155,1.1609800930302505,1.1611357142857144,0.92,-14.31715550267576,19.32,-19.83715550267576,SL,MomentumStrategy,1,newyork
BUY,9419,9424,1.1592520125258259,1.1588900000000002,0.91,-32.94313985013719,19.11,-38.403139850137194,SL,MomentumStrategy,1,london
